Unnamed: 0,review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name
1,RUE030N50F9EJ,B09PYVXXW5,5.0 out of 5 stars Really good with a couple of flaws,CTM,5,"I love TWS earbuds. I have many including buds from Sony, Samsung, AKG, Amazon, Soundpeats and more. I was intrigued by small size of the 1More Minis and wanted to try them. For the most part, they are wonderful. They are literally half the size of my other buds with most of the same features. Remarkable. I don't really like large buds hanging out of my ears and really loathe the stemmed variety like Airpods. These minis almost disappear and their extremely light weight makes them very comfortable. The sound is really good, they have very decent ANC and transparency modes, they have in ear detection and an app for some customization. I have no idea how they can manage to squeeze all of these features into such a small bud. On top of the features, the buds last 5 hours with ANC and 6 hours without. Amazing. I would unconditionally recommend these buds except for two annoyances that EVERY YouTube reviewer has complained about. First, limited customization of tap controls. These don't have single tap capability. I understand that to some degree because the buds are so small that it would probably be impossible to reposition them without stopping or starting your music. The bigger problem is 1More's use of Sound ID rather than ""real"" equalizer controls. Sound ID works by offering A/B samples that you select and it creates a profile based on your selections. It's horrible and doesn't work at all for me. I tried it at least 10 times and the Sound ID profile was always worse than the out of the box sound. I have been forced to use third part equalizers on my phone to get them to sound the way I want. 1More, if you want to keep your Sound ID, please add some presets and a manual equalizer the way many others do like Soundcore for example. I dislike Sound ID so much that it prevented me from buying their new EVO buds. I had the buds in my cart and then cancelled the order. The EVO cost more than the mini and I simply didn't want to deal with Sound ID again. If 1More adds equalization and perhaps allows for more tap options, these buds would be fantastic. As it is, I really like them and will workaround the app shortcomings. 1More, if you are listening, I know you can fix these problems. You can make a great product even greater!","Reviewed in the United States May 14, 2022",AEGYSY5H3ZUJC4SGGPRM3Z2OE5PA,1,32,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
2,R385JSD6KWP2QU,B09PYVXXW5,"4.0 out of 5 stars I wish I could rate 5 stars, butâ€¦",Gianna,4,"â€¦I just canâ€™t. Because as useful as these earbuds are, thereâ€™s one huge caveat to them that needs to be made clear.Letâ€™s start with the positive: the ComfoBuds Mini are incredible for sleeping. While theyâ€™re not advertised as sleep buds, I find it hard to believe that they werenâ€™t designed with sleep in mind. The flat shape, the small size, the selection of noise-blocking ambient sounds included in the app, even a sleep timerâ€¦while you certainly CAN use them as everyday buds (and if you have very small ears, you might want to) these are clearly intended for being comfortable enough to wear at night and block out unwanted noises. I love them for that. I previously hated wearing noise-cancelling earbuds at night, which was somewhat of a necessity to me due to my wifeâ€™s snoring problem; with these buds, I ditched the discomfort and pain and accidental button triggering in favor of a much more comfortable experience, to the point where I actually enjoyed putting them in every night. Theyâ€™re not called the â€œComfoBudsâ€ for nothing.The ANC is not the best Iâ€™ve ever tried, but gets the job done as far as helping to seal out those pesky nighttime disruptions. Sound quality is admittedly not the greatest. Donâ€™t get me wrong, itâ€™s perfectly acceptable, it just suffers in a few areas that probably directly relate to the size of the buds. Soundstage is poor, instrument separation is very poor, and the volume tends to skew on the quiet side, but if youâ€™re using these for sleep, none of that matters too much.Now here comes the real caveat.1MORE is clearly having a serious quality control issue with the ComfoBuds mini. I canâ€™t say for certain whether this extends to their other models, as this is the only product of theirs Iâ€™ve tried. And while the idea is fantastic and theyâ€™ve clearly put a lot of effort into the design of these buds, thereâ€™s a persistent issue with one or both earbuds suddenly losing its noise-cancelling ability after a very short period of time, producing whooshing or roaring noises instead of blocking sound.â€œItâ€™s just earwax blocking up the buds!â€ insist the apologist reviewers, as well as 1MORE themselves. â€œClean them and theyâ€™ll be fine!â€ But I beg to differ. With my first pair of these, the whooshing started in the right earbud after about two months of use. I immediately followed every bit of advice I could find about cleaning them, to no avail. I thought, okay, thatâ€™s a bummer, and I sent them back and ordered another pair. The left earbud of the second pair started whooshing within two weeks. I repeat: TWO WEEKS. I had used them less than ten times since I got them, plus I was being very careful about cleaning my ears every day, so there is NO WAY that they accumulated enough earwax during that time to block them up. Something else is going on. I wonder if trying to cram so much tech into such a small package is backfiring, and the components are interfering with each other somehow. Maybe thatâ€™s why you donâ€™t normally see ANC in buds of this size.1MORE will replace malfunctioning buds for you, but the process does take a while, and youâ€™ll be without them in the meantime. It seems theyâ€™re aware of the issue, which is good. I really hope that theyâ€™ll figure out whatâ€™s wrong and release a second version of the ComfoBuds Mini that doesnâ€™t have these problems.I should probably take off more than one star for the quality control issueâ€¦but I just canâ€™t bring myself to. Because when these buds are working, theyâ€™re really the perfect sleep buds, and I just canâ€™t see myself ditching them; nothing blocks out my wifeâ€™s snoring more comfortably than these. I only hope that theyâ€™ll continue to improve in the future. In the meantime, itâ€™s up to you to decide if the risks outweigh the benefits.","Reviewed in the United States July 22, 2023",AHINA7A6O2I5RZSNAY4OWYN4QXVA,1,31,Color: Red,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
3,R1UB1V4EPP9MN3,B09PYVXXW5,"5.0 out of 5 stars Basically perfect, fantastic wind ANC, perfect case",Colin M.,5,"I needed a replacement for my Galaxy buds pro's that have the fatal ANC ""roar in one ear"" that Samsung won't fix, and they don't stay in the ear. Bring an absolutely ENORMOUS fan of the 1more comfobuds z (the single best sleep focused earbuds at any price) I liked that these are also small, the case shape is wonderful (flip top, tiny, wireless charger) and they're relatively inexpensive.The sound quality uses 1more's app to do a ""sounds"" hearing preference test. I would prefer a proper EQ option but it works well enough. I prefer real audiophile iem's and headphones, but enjoyed the Galaxy buds on bass boost, they almost hit like planar magnetics. These are about 80% there. They're totally serviceable, with the only standout being a pretty good technical performance, with genuinely solid imaging and separation. They absolutely do need the soundID set up though, I hate the stock tuning. For tiny little things they are, I am perfectly happy with the sound quality when I want music on my bike or public transit.The ANC is stellar. They have a specific mode for wind reduction that downright curbstomps Samsung and apple. If you ride a bike, you need 1more ANC buds. The transparency mode is great too, very natural sounding. It doesn't have that ""talk and it switches to transparency"" gimmick, but I found it obnoxious on Samsung.Touch controls are easily customized and no ""single touch"" feature means you don't accidentally press anything readjusting or putting them in. Auto pauses when you take one out, your can use just one or the other no problemThe app features depend on the product but these are meant to be usable for sleeping, do they come preloaded with a library of sleep/ambient sounds. I just use my own but it's a nice feature. I can easily fall asleep with them in and I'm a very picky side sleeper, but I do prefer the absolutely microscopic comfobuds z's.The stock eartips did bother me a bit, they have a little ridge from the mold that irritated my ears after a few hours of use. They have a very odd mounting system that I was only able to find one option for, spinfit 1025 tips are shallow enough to fit and still let the case close (the wells for the eartips is a bit to shallow, id like it if they addressed this on a revision) so if you don't like the tips, spinfit 1025's.The case magnets that hold the buds in are hilariously strong. Your have to SMACK it to dislodge them. Very nice detail. The case size is tiny and perfectly shaped to slide into pockets, with a flip top that you can open one handedFor being so small they also stay put well. Not perfect, but I can work out or mow the lawn, an impossible task of the Galaxy buds pro.Overall though, these things rock. They're exactly what I need as a paramedic who also rides a bicycle. 1more is a serious brand with some seriously well thought out products at extremely competitive prices. I can sleep on my side with a podcast and still be able to wake up for a call, they crush wind nose when I'm riding my bike, they sound perfectly adequately tuned with impressive imaging (once you run the sound id feature once) and the case is (slightly too shallow recessions for the eartips aside) very nice in the hand and perfectly shaped.Highly recommend.","Reviewed in the United States August 18, 2022",AFG2T5XGMQCACK7JBDRHKEKWJLPA,1,21,Color: Red,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
4,RWYK1GXIVV6H1,B09PYVXXW5,1.0 out of 5 stars Decent but Defective,Aquila,1,"UPDATE 6/24/22: As of 6/23/22, my replacement earbuds have the same problem. Sound is reduced then completely lost in the right earbud just a couple of weeks after normal use. Down to 1 star instead of 3 stars. Returning them. Stay within high quality brands like Sony, Bose, and Sennheiser. Replacing them with Sony WFC 500â€™s.UPDATE 6/5/22: Amazon replaced my earbuds after some arm twisting. My updated review is underneath the original:After my cheap but mighty pair of Sony wired earphones finally died after years of use, I decided to do some research and finally try earbuds after years of scoffing at the wireless craze. I decided on these due to having small ears. My first pair of comfobuds mini were defective. The right earbud made a ringing noise as soon as I began to use them out of the box. 2 weeks after purchase, the right earbud had no sound. Max sound volume doesnâ€™t sound very loud unless you have ANC mode turned on. It does not have a proper equalizer. With my defective pair, ANC mode drowned out the melodies even though the bass was good, so the sound wasnâ€™t very balanced. The touch controls hardly work nor are they very customizable. You sacrifice some features that should be included in this price point for the small size.Review for replacement earbuds:The packaging was different. These came in a black box with a manufacture date of 4/2022. My defective pair was in a white box with a 2/2022 manufacture date. Both pairs of the earbuds were black. The touch controls are more responsive and they work 70% of the time instead of the 20% success rate of my defective pair, but the controls are still very limited for the price point. These definitely are as loud as they should be at max volume. Bass is good and the sound is more balanced. The bass in the defective pair was definitely stronger, but it overpowered and drowned out the melodies, making the sound unbalanced and less dynamic. Iâ€™m not sure if this has to do with the pair itself or the firmware. I have been on firmware version 0.10.38 for both pairs and have not yet updated, so it may be the pair itself. Eartips are comfortable but they may be problematic as they donâ€™t create enough of a buffer between your ear and the mesh, so your mesh may get waxy which may impact the sound. Keep them and your ears clean and I recommend buying better aftermarket eartips. Since this is my first pair of wireless earbuds ever, I really canâ€™t accurately measure how good the ANC is as I have nothing to compare it to yet. I ride trains frequently and I never hear my surroundings when ANC is turned on. The battery life seems low at a 4 hour play time with ANC enabled, but the charging case replenishes life fairly quickly. 1more customer service was fine and replied to me quickly, but I ended up getting the replacement faster through Amazon customer service. Overall Iâ€™ll bump the earbuds up to a 3 out of 5 stars. They lose points for the lack of touch controls, lack of a real equalizer, and being overpriced. The sound is decent, the size is great, and they are light-weight and comfortable. While I still prefer the sound quality of wired earphones, Iâ€™ll keep these in my collection if they donâ€™t fizzle out on me too fast again.","Reviewed in the United States June 3, 2022",AGFUWY2GO4HF5RMLUR7ZOSKID4KA,1,9,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
5,R3FBQBGQM3II4W,B09PYVXXW5,3.0 out of 5 stars I went with soundcore instead,Frankie,3,"So out of the box these tiny buds surprised me. The fit was amazing for me considering Iâ€™m one of those with extremely tiny ears. The sound was okay but after setting up soundid they sounded pretty good with nice bass and clarity. Now on to the bad.ANC.. was alright then I started noticing the left bud wouldnâ€™t function like the right one. A day later whenever anc was enabled the left bud would vibrate and distort sound. Tried resetting and all of that but itâ€™s clearly a hardware issue as it now happens whenever I try to use them. These buds also lack a mono sound when only one is in use. I own many buds and Iâ€™ve never run into that before so when using one bud youâ€™re missing out on a lot of tucked away frequencies. When anc was functioning properly it was eh at best. To me more sound was canceled out with all functions turned off. Iâ€™ve literally only had these for 3 days and theyâ€™re defective already which is a shame because I like the sound and how they fit. Transparency mode was a little much for me especially considering you canâ€™t adjust the volume for it.Touch controls are hardly customizable, Iâ€™m not a fan of only having two tap and triple tap functions.Call quality was actually pretty bad. The person I was talking to would constantly drop out and sound like staticEDIT:Now both earbuds produce a loud buzzing sound whenever using anc/transparency mode. You can hear and feel it, the buds will actually vibrate a bit. They work fine with anc/transparency mode turned off. Would really like a replacement.","Reviewed in the United States October 28, 2022",AEOFU2SCDWYLS6DTSXIR6FWMRQMQ,1,7,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
6,R2XA1MES3TJ3W5,B09PYVXXW5,2.0 out of 5 stars Wish I had believed the negative reviews,Devin,2,"I bought these earbuds because I really liked the smaller size. They disappear in your ear and you barely feel them. The case also disappears in your pocket which is nice.However, after a week or so, they started having connection issues. Also, even if they stay connected, these earbuds will stop playing audio when switching from one app to another. The only way I've been able to fix this is to put them back in the case and try again.I was willing to put up with these issues but now audio only comes out of the left side. If you put the right side in you can barely hear anything at all.I've had much cheaper earbuds perform way better than this. I'd recommend everyone stay away from these buds","Reviewed in the United States April 15, 2024",AEL35B323FNFSPUXYCUEHPTA6W4Q,1,2,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
7,R14N6DGOB7WJN,B09PYVXXW5,5.0 out of 5 stars Still works after going through a wash!,Anastasia Widiarsih,5,"These are my second pair (1 for home and 1 for work). They are the first pair that are comfortable to wear (I have smaller ears). Good sound quality. After 2 days of owning these, I accidentally left them in my pants pocket and threw them in the wash. To my surprise, they work just fine! I really thought they were goners.","Reviewed in the United States July 28, 2024",AEDNAF627CXBCAHW6KDCGXXNDMJQ,1,0,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
8,R2Y5OUH1A0I97F,B09PYVXXW5,4.0 out of 5 stars These are good earbuds,Yamichelle Guzman,4,"I really like these earbuds. Compared to my AirPods 2, the sound isnâ€™t as crisp but has a lot more bass. If you use Spotify, you can get it to sound the same or better than AirPods 2 with the EQ.On the negative side, the ear tips are really poor. They burn my ears after I have removed them and readjusted a couple of times throughout the day.I had ordered both black and white, and the black case came defective, it wouldnâ€™t charge wirelessly, and had a physical defect on the left side.Other than that, after wearing them a couple of hours they seem a bit uncomfortable if not put on properly. It all goes back to the eartips, as I feel I canâ€™t wear them properly if my ears are burning.Be careful around children as these are tiny. Can definitely get lost easily if not put in and taken out of case in a safe spot.Better ear tips please. Other than that, great earbuds: light, compact, wireless, and nice color options, although beige or matte goldish would be nice as well.","Reviewed in the United States June 18, 2022",AEWM444U7WHRSMJFF5F234O7ORCQ,1,7,Color: White,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
9,RKZ7RXOAQCUT9,B09PYVXXW5,"4.0 out of 5 stars Good, comfortable headphones",Victoria,4,"I'm very impressed with these little earbuds. I bought them because I have noisy upstairs neighbors and needed some noise cancelling headphones to help me sleep. I'm a side sleeper, and while these aren't totally perfect for that, they're comfortable enough that I don't have trouble falling asleep. It helps if you use a very squishy pillow (my memory foam pillow is too firm and makes them dig into my ears). They're very comfortable for regular daily use too. I have an oddly shaped ear canal that makes earbuds constantly fall out of my left ear, but these are small enough that they fit snugly.I'm no audiophile, but the sound is good. Can't complain. They don't sound as good as my Bose headphones that I normally wear, but they're like 1/50 of the size so I can't really fault them for that. I wish the app let you adjust the sound settings manually. As far as I can tell, you can only adjust them by taking their sound preference quiz. The touch controls are a little annoying. The tutorial said you double tap to play/pause, but I've never gotten that to work. They do sometimes randomly pause when I remove or adjust them, though.The noise cancelling works really well. I was kind of blown away by it, since I've never had earbuds with ANC capabilities before. I can't hear the thumping from my neighbors' music at ALL. Way better than I was expecting. It also blocks out the sound of my fan completely. I can definitely still hear sudden, abrupt noises, but it's very muffled. The ""transparent"" setting is also nice, since I like to be able to hear my surroundings when I'm out walking.These aren't marketed as sleep headphones, and I suspect that is partly because of the battery life. They last around 4 hours with ANC enabled, so they won't last you a full night's sleep. Not a huge deal for me since my neighbors usually cool it with the music at around 4am, but it wouldn't be ideal if you were trying to block out a snoring partner, loud AC unit, etc. For the price I didn't really expect much more than that, but it's significantly less than all of the other wireless earbuds I've owned. They do charge quickly, at least.","Reviewed in the United States February 10, 2024",AFBVU4557EOTGE76S5GLAV5LAAZQ,1,0,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
10,R3LR4EEY40BMUY,B09PYVXXW5,4.0 out of 5 stars Finally,TJ Lewis,4,"First this is coming someone who's worked in the tech industry for almost 30 years. I own my own IT/technology company and I am truly passionate about technology. Simply put these are the best fitting perfect size earbuds on the market. There are no competitors who make earbuds that aren't giant or hang out of medium to small ears. By combining all metrics that earbuds are judged by today the Comfo Buds minis are in a league of their own. The sound quality iis good, noise canceling decent and has the basic features (transparency, basic touch controls) that we have come expect. With that said it's impossible to provide a negative review of these earbuds without attempting to nitpick, are doing a deep comparison in the technical specifics that ultimately most users don't understand. There are very few things in the technology space that are the best at every facet of their market. If you are someone who has smaller ears or just thinks the average size of earbuds is ridiculous than these earbuds are perfect. No they're not top sound quality top noise canceling, top battery life. They are good everywhere. Let's hope 1More is the company that finally drives true innovation in the earbuds market regarding fit and size. Based on price feature set, fit and sound quality the Comfo buds mini have made all my other buds obsolete. My Samsung buds pro, My sound core Liberty pro 3s no longer have a place in my day. I just ordered the Galaxy s23 ultra and in the deal was included a set of Samsung Galaxy buds pro 2. I will update this review once I get my hands on them.My guess is they will be much larger and not have such overwhelming sound quality, ANC and battery life to overtake the 1More Comfo Buds minis. I finally having a full featured small set of earbuds that Make them very convenient for day-to-day use. Let's not forget you can get two or three pairs of these for the price of the ""high end"" brands. If you are a person with common sense you will love these buds. Let's be honest the majority of negative reviews come from people who see themselves as experts , love to talk detailed acronyms and technical statistics or those who don't quite understand how to use the product. FACT earbud size and fit is the number one failure across the earbud market. IMO 1More realized this simple obvious fact and provided a great product at a great price. As stated before let's hope all earbud manufacturers follow their lead. It's 2023! Manufacturing processes and the technology is there for all manufacturers to create a small size product with all features.","Reviewed in the United States February 8, 2023",AGTLON3RW5EOBWRCQPIUX2DWXPDQ,1,23,Color: White,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
11,R20FGQD5MQDMP5,B09PYVXXW5,4.0 out of 5 stars It works.,Ziggy3339,4,"It isnâ€™t my favorite but it DOES WORK fine. I read at night on my iPad with only a candle in bed next to my husband. He canâ€™t hear the audio book. Iâ€™m glad for that. I wanted something I could fall asleep with in my ear but this tends to be difficult for me to insert in low light & Iâ€™ve had it fall out. That said, it may very well be my EARS shaped in a way that cause this!","Reviewed in the United States May 19, 2024",AEBXJRP4COCKP22LPKUDVCQ7JKVQ,1,0,Color: White,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
12,R9COQUGRFW18X,B09PYVXXW5,4.0 out of 5 stars Common issues people experiene are easily fixed and avoidable,Evan Reeves-Fortney,4,"These are really great earbuds, especially for their size.There are common issues that people run into, which have them replacing the buds using the warranty over and over again before giving up and saying the earbuds seem to suffer from poor quality control or cheap components which fail after a few weeks or months.These issues are a high pitch squeaking noise, and very low volume or no sound. These issues can occur in one side only, or both sides.All you have to do is clean the metal mesh, it's become clogged with your earwax. Trust me, I guarantee that is what the problem is. You have to unclog all the little holes, I used a bristle from a brush which was thin enough to fit. The holes are very tiny.You might start to have volume issues with an earbud not being as loud as the other. It's the holes getting clogged. Once they're all clogged up, you won't be able to hear anything except a very quiet, constant, white noise.The screeching noise occurs when trying to use active noise canceling, while the metal screen is clogged. Don't ask me why, I'm not an expert, but for some reason that's what happens when the mesh is plugged up and you switch to ANC mode. The problem will be completely fixed once you clear out all those tiny holes.Tons of people report these issues occurring after about a month of use, and exchanging them only to run into similar issues with the new pair. It's not the earbuds, it's you. You've got gunk in your ears. You can prevent running into these problems by making sure your ears are clean before using them, cleaning off any earwax after you take them out and before putting them back in the case, and making sure the part of the case where the buds go is clean as well. If you do those three things, you won't end up with clogged up earbuds.","Reviewed in the United States March 16, 2023",AH6X7EA35R6X7XADWWTFB5334ACA,1,30,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
13,R36NPUM9PYAAWA,B09PYVXXW5,4.0 out of 5 stars Extremely comfortable,Brandon,4,"The name checks out, these are the most comfortable earbuds i have by far. As someone who likes to lay on my side while watching shows, these are perfect since you cannot feel them. The ONLY issue is that the sound profile can be changed by doing a multistep test but cannot simply be toggled to different EQs. There is no reason for them to complicate changing the EQ like this and for that reason they get 4 stars. Please change this.","Reviewed in the United States April 21, 2024",AFBMXHYRSYCTDJPGTIX556DB6ITA,1,0,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
14,R252QHF3ELMN20,B09PYVXXW5,3.0 out of 5 stars I wanted to love these so much!,Domcalli,3,"I love the buds and the thought put into the app, but the instability and lack of customization of the app and missing key features/functionality is what killed it for me. I had to return the earbuds. I hope they improve enough in the future that I can invest in them again without these issues.Bluetooth 5.2: Great connection and distance, but in order to connect to different devices you have to go into the device your connected to and disconnect before the other device can connect. My older Bluetooth headphones can release the connection when the new device wants to connect without having to go into the settings like that. (Why no multipoint if they have 5.2?)Also, one bud would randomly disconnect and reconnect occasionally.Call quality is definitely not great, while people said the could hear me fine, the also would say ""what?"" pretty frequently and on my end they sounded so shrill and tinny it was super unpleasant.Noise cancellation was actually really good to me, and the transparency mode was so good it almost felt like I didn't have anything in my ears at all.For dinner reason you can't use transparency mode when only one bud is in. It has to be both buds or not at all.The app crashed frequently. I wish they would allow for more touch control customization. I understand why they chose not to have single tap on these buds but the option would have been nice.Sound quality was awesome for my music, but it didn't carry over to videos and podcasts very well, so having multiple sound profiles would have been nice.The tips suck, not comfortable at all. I bought some spinfits that made a world of difference but it couldn't make up for all the other faults. I really wanted these to work because the sound quality and small size are so good, but I couldn't get past the other faults enough to keep them.I hope they make these improvements in the future. It is mostly software and firmware fixes, I would definitely get these again if they were more stable and customizable.","Reviewed in the United States June 24, 2022",AH4CDS32MVL5VXXWXVBOJ5KKGYTA,1,6,Color: Red,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
15,R3H14FR01F7EJW,B09PYVXXW5,2.0 out of 5 stars Not great,Ben,2,"I will start by saying this is my first review on Amazon but I was so disappointed I felt I had to put the word out. While not an expensive earbud option I did expect more for the money. As far as the good I would say they aesthetically nice looking and are very compact. I guess they are as â€œdiscreetâ€ as they can be while not being a skin colored piece of plastic in your ear. Sound quality is fine and battery life is decent. Okay, now for the bad. Unlike basically any other earbud, putting the earbuds in the case and closing it does not seem to be an â€œoff switch.â€ The vast majority of the time they would reconnect while not in use and drain the battery/not charge. Occasionally they would connect to my phone while driving and then I would have to disconnect them and reconnect my phone to car to continue to use my phone to stream to my car audio. They would often just stop while in use with my phone if I got a phone call. I would have to disconnect put in case then take from case to reconnect. Occasionally the listening mode would change on its own from ANC to standard. Overall just bad software/hardware. I only used these for two months and some change and have already replaced them with a superior option for less cash. Do some research and there are many options that are cheaper to slightly more expensive that will be a much better option for you.","Reviewed in the United States April 11, 2024",AECFIPA5UNAVXVHCUVHCKFVBHSDA,1,0,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
16,R1XPXE1L50L7EG,B09PYVXXW5,3.0 out of 5 stars Best earbuds... for the 2 weeks they worked,Phoenix,3,"Like the title says, these were the best earbuds ever at first, super comfortable and cute, I could even wear them while laying on my side, the sound and noise canceling were fine, no connection problems, incredible. Then about 2 weeks in the right earbud stopped working properly; they still charged and turned on, but barely any sound came out. I have had over a dozen pairs of wireless earbuds (I currently have 4 that I use regularly) ranging from the cheapest budget pairs to the most expensive Samsung ones, and never have I had a pair break so quickly. I have much cheaper pairs I've used far more and still work fine, but I only used these like 3 or 4 times before they stopped working properly. I really hope they update these and fix whatever the issue is since I've seen other people talk about this, and these were literally the best headphones for the very few uses I got. I would sacrifice some of the audio quality and battery life if they could just make them last","Reviewed in the United States November 30, 2023",AFV6YAGI3KBPH6GBXLDHNF7WF4NQ,1,2,Color: Red,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
17,R3C8RUPVLCW9AB,B09PYVXXW5,5.0 out of 5 stars Size: GREAT! Sound: OKAY!,Poggers Mcloggers,5,"If you want tiny earbuds that sound good enough, get these now!I had the problem that no ear buds would fit me because of the weird shape of my ears, but because these are so small, these are absolutely fine.Now these are some petty dislikes that i have:The mic peaks when there is a big pressure change such as opening or closing your car door too fast.The app has no EQThe app has little functionality and the personalised sound is trashThere's not a lot of subbass/bass but it's acceptable and you'll hear itBass heads will be disappointedOnly as loud as earbuds can get so dont expect to get a headphone level of volume from theseTouch controls are pretty badNothing is perfect.Now for the petty likes:Case is SUPER smallNoise cancelling is prety good for 80 bucksYou can use them for working out bcuz they literally weigh nothingWireless chargingSounds actually good despite sizeFot those who need it(me), all the cons won't matter","Reviewed in the United States February 21, 2024",AHE7LXGKBUGR25S7RV6BI3VMPEQA,1,0,Color: Red,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
18,R1E1DJHFZYD9TW,B09PYVXXW5,"4.0 out of 5 stars Fantastic product, one minor gripe",StLouisAudioPhile,4,"I love how small these things are. They fit snugly in my ears and sound absolutely fantastic. The noise cancellation function is nice but not perfect; it's enough for most use cases but if you want complete and total silence, I might look elsewhere.The app is easy to use and convenient, the tap response is very smooth and useful, and the connection is very strong. I'm getting about 5 hours of use per charge, which is nothing to scoff at. The charging case is fairly small. I'm getting a Qi charging pad today so I'll update this review to let you all know whether it's compatible or not.My only complaint is a minor one: the silicon tips that come with these are trash. The driver and tip came apart almost immediately, and for the life of me I can't get them to fit comfortably or stay together. I got some new foam tips which are far better, but the case needs the earbuds to fit very snugly so they won't charge with other tips on. This isn't a deal breaker for me because the pros far outweigh the cons, but it's important enough to document here.","Reviewed in the United States March 12, 2023",AHSHV43OVBBVOEH7ZAOAC5RGXTAA,1,5,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
19,R3KRJG9SCDCC01,B09PYVXXW5,4.0 out of 5 stars Almost perfect!,james crippen,4,"Very comfortable could wear all day and great battery life for the size. It has impressive sound from such a small package, can get loud enough to drown out background noise with anc on.The two things that prevent this from being perfect are:One, there is no touch controls that I have found to allow you to control the volume. This is a big deal as I use ear buds to listen to tv at night and I'm unable to use these as the volume is always maxed out with no way to lower..Two, you have to use the case to pair to different devices. This makes it difficult to swap connections, I typically switch between a computer, phone, and tv throughout my normal day. With other earbuds I'm able to put them into pairing mode and easily connect to whatever device I'm using without taking them out or using the case.If they could fix these two issues, these would be the only buds I would use, but I do have to switch to one ov my other sets for tv watching do to the volume control.","Reviewed in the United States March 18, 2023",AGWODMFAPF4W6NOBG6LMLCW2XCAA,1,5,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
20,R2VFF8K2DZCW5S,B09PYVXXW5,4.0 out of 5 stars Good customer service....Great while they last 3rd pair just died,Kindle Customer,4,"UPDATE: the company saw my review and reached out to give me a refund since the product died. So added 2 stars for customer service.So I have small sensitive ears and these are the most comfortable earbuds with ANC I have found. But my 3rd pair died in less than a year. 1st time got replacement via warranty and those also died. 3rd pair just bought on sale and again in 6 months right ear is broken, makes a loud squealing noise and then nothing. App shows its connected and charged. So unfortunately I wont be buying them again.","Reviewed in the United States November 10, 2023",AF3LL2OOGU3KMNNIFJFS5WPJ7TYA,1,1,Color: White,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
21,R2J00QXBAYM6W9,B09PYVXXW5,2.0 out of 5 stars Dissapointing,J. Gracia,2,"The only good thing about this earbud is it's size. I can wear a bandana over my ears and no one can't tell I have earbuds as they don't stick out at all. Others claim they're small but they still stick out. I would say everything else is poor and my biggest complain is the lack of quality control. I started getting problems with the earbuds cutting off and sometimes they will get out of sync, which putting them back and pressing the case button three times seemed to fix it it was super annoyning...imagine having soapy hands or just busy and can't take them off right away while you got a mess of sound in your ears, it has lattency when you watch videos too. None of this ever happened with my jaybird vista for the 3 years I had them.Also I noticed that the left earbud led light was not aligned with the orifice like it should, so definetely a quality control issue. When I reset the earbuds the lights on the earbuds flicker but at different rates which lets me to believe something isn't right. Again the left one is flickering randomly faster than the right one. I watched do this for a while and could not identify the pattern...almost as they would somehow try to sync and stop and start over endlessly with no success. I'm gonna be testing them more for the next couple of days of the start acting up again I will return and ask for my refund.","Reviewed in the United States December 7, 2023",AFSGE2U2I3RTCI5T7JBTXQVHLQ7A,1,0,Color: Black,1MORE ComfoBuds Mini Hybrid Active Noise Cancelling Earbuds
